i 1  prescaler: 733  frequenzy 65484 
i 2  prescaler: 367  frequenzy 65395 
i 3  prescaler: 245  frequenzy 65306 
i 4  prescaler: 184  frequenzy 65217 
i 5  prescaler: 147  frequenzy 65306 
i 6  prescaler: 123  frequenzy 65040 
i 7  prescaler: 105  frequenzy 65306 
i 8  prescaler: 92  frequenzy 65217 
i 9  prescaler: 82  frequenzy 65040 
i 10  prescaler: 74  frequenzy 64864 
i 11  prescaler: 67  frequenzy 65128 
i 12  prescaler: 62  frequenzy 64516 
i 13  prescaler: 57  frequenzy 64777 
i 14  prescaler: 53  frequenzy 64690 
i 15  prescaler: 49  frequenzy 65306 
i 16  prescaler: 46  frequenzy 65217 
i 17  prescaler: 44  frequenzy 64171 
i 18  prescaler: 41  frequenzy 65040 
i 19  prescaler: 39  frequenzy 64777 
i 20  prescaler: 37  frequenzy 64864 
i 21  prescaler: 35  frequenzy 65306 
i 22  prescaler: 34  frequenzy 64171 
i 23  prescaler: 32  frequenzy 65217 
i 24  prescaler: 31  frequenzy 64516 
i 25  prescaler: 30  frequenzy 64000 
i 26  prescaler: 29  frequenzy 63660 
i 27  prescaler: 28  frequenzy 63492 
i 28  prescaler: 27  frequenzy 63492 
i 29  prescaler: 26  frequenzy 63660 
i 30  prescaler: 25  frequenzy 64000 
i 31  prescaler: 24  frequenzy 64516 
i 32  prescaler: 23  frequenzy 65217 
i 33  prescaler: 23  frequenzy 63241 
i 34  prescaler: 22  frequenzy 64171 
i 35  prescaler: 21  frequenzy 65306 
i 36  prescaler: 21  frequenzy 63492 
i 37  prescaler: 20  frequenzy 64864 
i 38  prescaler: 20  frequenzy 63157 
i 39  prescaler: 19  frequenzy 64777 
i 40  prescaler: 19  frequenzy 63157 
i 41  prescaler: 18  frequenzy 65040 
i 42  prescaler: 18  frequenzy 63492 
i 43  prescaler: 18  frequenzy 62015 
i 44  prescaler: 17  frequenzy 64171 
i 45  prescaler: 17  frequenzy 62745 
i 46  prescaler: 16  frequenzy 65217 
i 47  prescaler: 16  frequenzy 63829 
i 48  prescaler: 16  frequenzy 62500 
i 49  prescaler: 15  frequenzy 65306 
i 50  prescaler: 15  frequenzy 64000 
i 51  prescaler: 15  frequenzy 62745 
i 52  prescaler: 15  frequenzy 61538 
i 53  prescaler: 14  frequenzy 64690 
i 54  prescaler: 14  frequenzy 63492 
i 55  prescaler: 14  frequenzy 62337 
i 56  prescaler: 14  frequenzy 61224 
i 57  prescaler: 13  frequenzy 64777 
i 58  prescaler: 13  frequenzy 63660 
i 59  prescaler: 13  frequenzy 62581 
i 60  prescaler: 13  frequenzy 61538 
i 61  prescaler: 13  frequenzy 60529 
i 62  prescaler: 12  frequenzy 64516 
i 63  prescaler: 12  frequenzy 63492 
i 64  prescaler: 12  frequenzy 62500 
i 65  prescaler: 12  frequenzy 61538 
i 66  prescaler: 12  frequenzy 60606 
i 67  prescaler: 11  frequenzy 65128 
i 68  prescaler: 11  frequenzy 64171 
i 69  prescaler: 11  frequenzy 63241 
i 70  prescaler: 11  frequenzy 62337 
i 71  prescaler: 11  frequenzy 61459 
i 72  prescaler: 11  frequenzy 60606 
i 73  prescaler: 11  frequenzy 59775 
i 74  prescaler: 10  frequenzy 64864 
i 75  prescaler: 10  frequenzy 64000 
i 76  prescaler: 10  frequenzy 63157 
i 77  prescaler: 10  frequenzy 62337 
i 78  prescaler: 10  frequenzy 61538 
i 79  prescaler: 10  frequenzy 60759 
i 80  prescaler: 10  frequenzy 60000 
i 81  prescaler: 10  frequenzy 59259 
i 82  prescaler: 9  frequenzy 65040 
i 83  prescaler: 9  frequenzy 64257 
i 84  prescaler: 9  frequenzy 63492 
i 85  prescaler: 9  frequenzy 62745 
i 86  prescaler: 9  frequenzy 62015 
i 87  prescaler: 9  frequenzy 61302 
i 88  prescaler: 9  frequenzy 60606 
i 89  prescaler: 9  frequenzy 59925 
i 90  prescaler: 9  frequenzy 59259 
